timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.844334;flow_0.0;172425925_0;1.700000;0.000000;0.000000;vehDist0;13.429740;52.498311
1.00;300.844334;flow_0.0;172425925_0;2.415232;0.000000;0.715232;vehDist0;13.429731;52.498314
2.00;300.844334;flow_0.0;172425925_0;3.889303;0.000000;1.474071;vehDist0;13.429712;52.498320
3.00;300.844334;flow_0.0;172425925_0;6.226201;0.000000;2.336898;vehDist0;13.429682;52.498331
4.00;300.844334;flow_0.0;172425925_0;9.261627;0.000000;3.035426;vehDist0;13.429643;52.498344
5.00;300.844334;flow_0.0;172425925_0;13.242335;0.000000;3.980708;vehDist0;13.429592;52.498362
6.00;300.844334;flow_0.0;172425925_0;18.199040;0.000000;4.956705;vehDist0;13.429529;52.498384
7.00;300.844334;flow_0.0;172425925_0;23.197476;0.000000;4.998436;vehDist0;13.429465;52.498406
8.00;300.844334;flow_0.0;172425925_0;28.494611;0.000000;5.297136;vehDist0;13.429397;52.498430
9.00;300.844334;flow_0.0;172425925_0;33.880358;0.000000;5.385746;vehDist0;13.429328;52.498454
10.00;300.844334;flow_0.0;172425925_0;38.863128;0.000000;4.982771;vehDist0;13.429264;52.498476
11.00;300.844334;flow_0.0;172425925_0;44.363178;0.000000;5.500049;vehDist0;13.429194;52.498500
12.00;300.844334;flow_0.0;172425925_0;49.725151;0.000000;5.361973;vehDist0;13.429125;52.498524
13.00;300.844334;flow_0.0;172425925_0;55.013796;0.000000;5.288645;vehDist0;13.429057;52.498547
14.00;300.841768;flow_0.0;172425925_0;60.296239;0.000000;5.282443;vehDist0;13.428989;52.498571
15.00;300.841768;flow_0.0;172425925_0;65.291263;0.000000;4.995025;vehDist0;13.428926;52.498593
16.00;300.841768;flow_0.0;172425925_0;70.840018;0.000000;5.548755;vehDist0;13.428854;52.498618
17.00;300.841768;flow_0.0;172425925_0;75.936487;0.000000;5.096469;vehDist0;13.428789;52.498640
18.00;300.841768;flow_0.0;172425925_0;81.102946;0.000000;5.166459;vehDist0;13.428723;52.498663
19.00;300.841768;flow_0.0;172425925_0;86.409526;0.000000;5.306580;vehDist0;13.428655;52.498687
20.00;300.841768;flow_0.0;172425925_0;91.434756;0.000000;5.025230;vehDist0;13.428591;52.498709
21.00;299.833875;flow_0.0;241020237#0_0;3.483802;0.000000;5.389046;vehDist0;13.428520;52.498733
22.00;299.833875;flow_0.0;241020237#0_0;8.465012;0.000000;4.981209;vehDist0;13.428456;52.498754
23.00;299.833875;flow_0.0;241020237#0_0;13.515783;0.000000;5.050771;vehDist0;13.428391;52.498776
24.00;299.833875;flow_0.0;241020237#0_0;18.544290;0.000000;5.028507;vehDist0;13.428326;52.498798
25.00;299.833875;flow_0.0;241020237#0_0;24.077238;0.000000;5.532948;vehDist0;13.428254;52.498821
26.00;299.833875;flow_0.0;241020237#0_0;29.382382;0.000000;5.305144;vehDist0;13.428185;52.498844
27.00;299.833875;flow_0.0;241020237#0_0;34.852718;0.000000;5.470336;vehDist0;13.428115;52.498868
28.00;299.833875;flow_0.0;241020237#0_0;40.357150;0.000000;5.504432;vehDist0;13.428043;52.498891
